Origem;Nome;Código IF / CETIP;ISIN;Status;Taxa / Remuneração;Emissão;Série;Data Emissão;Data Vencimento;Volume (R$);Devedor / Cedente;Lastro;Agente Fiduciário;Tipo / Oferta
"HabitaSec";"Level";"24C2208771";"BRHBSCCRIB91";"Ativo";"IPCA + 12.68% a.a.";"558";"";"";"";"";"Level";"";"";"CRI"
"HabitaSec";"Level";"24C2203838";"BRHBSCCRIB83";"Ativo";"IPCA + 12.68% a.a.";"557";"";"";"";"";"Level";"";"";"CRI"
"HabitaSec";"Level";"24C2199746";"BRHBSCCRIB75";"Ativo";"IPCA + 12.68% a.a.";"556";"";"";"";"";"Level";"";"";"CRI"
"HabitaSec";"Helbor BRAP";"24C1586480";"BRHBSCCRIB42";"Ativo";"IPCA + 7.704% a.a.";"495";"";"";"";"";"Helbor BRAP";"";"";"CRI"
"HabitaSec";"Helbor BRAP";"24C1589518";"BRHBSCCRIB34";"Ativo";"Não definido + 12.5908% a.a.";"496";"";"";"";"";"Helbor BRAP";"";"";"CRI"
"HabitaSec";"Pernambuco Aurora Prince";"24D3062404";"BRHBSCCRIBB1";"Ativo";"CDI + 5% a.a.";"502";"";"";"";"";"Pernambuco Aurora Prince";"";"";"CRI"
"HabitaSec";"MSB AXIS";"24D2858481";"BRHBSCCRIBA3";"Ativo";"IPCA + 11% a.a.";"501";"";"";"";"";"MSB AXIS";"";"";"CRI"
"HabitaSec";"EBM Permuta Financeira";"24D3470625";"BRHBSCCRIBE5";"Ativo";"INCC-M + 8% a.a.";"505";"";"";"";"";"EBM Permuta Financeira";"";"";"CRI"
"HabitaSec";"EBM Permuta Financeira";"24D3470114";"BRHBSCCRIBD7";"Ativo";"INCC-M + 8% a.a.";"504";"";"";"";"";"EBM Permuta Financeira";"";"";"CRI"
"HabitaSec";"Econ IV";"24E1394847";"BRHBSCCRIBF2";"Ativo";"CDI + 3.75% a.a.";"507";"";"";"";"";"Econ IV";"";"";"CRI"
"HabitaSec";"Realiza V (Goiânia)";"24F2010440";"BRHBSCCRIBL0";"Ativo";"CDI + 4.75% a.a.";"512";"";"";"";"";"Realiza V (Goiânia)";"";"";"CRI"
"HabitaSec";"Realiza V (Goiânia)";"24F2009551";"BRHBSCCRIBJ4";"Ativo";"CDI + 5% a.a.";"510";"";"";"";"";"Realiza V (Goiânia)";"";"";"CRI"
"HabitaSec";"Realiza V (Goiânia)";"24F2007358";"BRHBSCCRIBI6";"Ativo";"CDI + 4.75% a.a.";"509";"";"";"";"";"Realiza V (Goiânia)";"";"";"CRI"
"HabitaSec";"Franco Ribeiro";"24F2418658";"BRHBSCCRIBM8";"Ativo";"IPCA + 11.5% a.a.";"513";"";"";"";"";"Franco Ribeiro";"";"";"CRI"
"HabitaSec";"Montreal Vila Olimpia";"24G1773090";"BRHBT1CRI009";"Ativo";"IPCA + 12% a.a.";"514";"";"";"";"";"Montreal Vila Olimpia";"";"";"CRI"
"HabitaSec";"Ariatam";"24H1453741";"BRHBSCCRIBN6";"Ativo";"IPCA + 11% a.a.";"521";"";"";"";"";"Ariatam";"";"";"CRI"
"HabitaSec";"PIVÔ";"24H1736123";"BRHBSCCRIBP1";"Ativo";"CDI + 4% a.a.";"523";"";"";"";"";"PIVÔ";"";"";"CRI"
"HabitaSec";"Pulverizado Projetos Residenciais";"24H2096783";"BRHBSCCRIBQ9";"Ativo";"IPCA + 10% a.a.";"522";"";"";"";"";"Pulverizado Projetos Residenciais";"";"";"CRI"
"HabitaSec";"Nazale";"24I1781546";"BRHBSCCRIBR7";"Ativo";"CDI + 4.5% a.a.";"524";"";"";"";"";"Nazale";"";"";"CRI"
"HabitaSec";"Ativos Residenciais Diversificados";"24I2477779";"BRHBSCCRIBS5";"Ativo";"CDI + 8% a.a.";"525";"";"";"";"";"Ativos Residenciais Diversificados";"";"";"CRI"
"HabitaSec";"Bonelli Jaboh";"24J4614478";"BRHBSCCRIBW7";"Ativo";"IPCA + 14% a.a.";"530";"";"";"";"";"Bonelli Jaboh";"";"";"CRI"
"HabitaSec";"Bonelli Jaboh";"24J4614248";"BRHBSCCRIBV9";"Ativo";"IPCA + 10% a.a.";"529";"";"";"";"";"Bonelli Jaboh";"";"";"CRI"
"HabitaSec";"Bonelli Jaboh";"24J4614457";"BRHBSCCRIBU1";"Ativo";"IPCA + 14% a.a.";"528";"";"";"";"";"Bonelli Jaboh";"";"";"CRI"
